,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/03,1,Economic,Local,WIND,114,132.0
1,11/03,2,Economic,Local,WIND,132,159.0
2,11/03,3,Economic,Local,WIND,48,77.0
3,11/03,4,Economic,Local,WIND,50,78.0
4,11/03,6,Economic,Local,WIND,36,55.0
5,11/03,7,Economic,Local,WIND,0,3.0
6,11/03,9,Economic,Local,SOLR,2,29.0
7,11/03,9,Economic,System,WIND,0,
8,11/03,10,Economic,Local,SOLR,1,8.0
9,11/03,11,Economic,Local,SOLR,78,148.0
10,11/03,12,Economic,Local,SOLR,1,2.0
11,11/03,14,Economic,Local,SOLR,0,
12,11/03,14,Economic,System,SOLR,1,2.0
13,11/03,15,Economic,Local,SOLR,0,
14,11/03,15,Economic,System,SOLR,1,2.0
15,11/03,16,Economic,Local,SOLR,0,2.0
16,11/03,16,Economic,System,SOLR,1,
17,11/03,17,Economic,System,SOLR,0,2.0
