,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,10/05,8,Economic,System,WIND,1,15.0
1,10/05,10,Economic,Local,WIND,24,6.0
2,10/05,10,Economic,System,SOLR,73,285.0
3,10/05,10,Economic,System,WIND,32,113.0
4,10/05,11,Economic,Local,SOLR,0,
5,10/05,11,Economic,System,SOLR,78,261.0
6,10/05,11,Economic,System,WIND,59,80.0
7,10/05,11,SelfSchCut,Local,SOLR,0,
8,10/05,11,SelfSchCut,Local,WIND,0,
9,10/05,12,Economic,Local,SOLR,22,233.0
10,10/05,12,Economic,Local,WIND,28,72.0
11,10/05,12,Economic,System,SOLR,0,
12,10/05,12,Economic,System,WIND,17,
13,10/05,12,SelfSchCut,Local,SOLR,0,
14,10/05,12,SelfSchCut,Local,WIND,0,
15,10/05,13,Economic,Local,SOLR,1,3.0
16,10/05,13,Economic,Local,WIND,9,36.0
17,10/05,13,Economic,System,SOLR,2,10.0
18,10/05,13,Economic,System,WIND,12,57.0
19,10/05,13,SelfSchCut,Local,SOLR,0,1.0
20,10/05,13,SelfSchCut,Local,WIND,1,5.0
21,10/05,14,Economic,Local,SOLR,3,31.0
22,10/05,14,Economic,Local,WIND,7,78.0
23,10/05,16,Economic,Local,SOLR,1,2.0
24,10/05,16,Economic,System,SOLR,1,10.0
25,10/05,16,SelfSchCut,Local,SOLR,0,
26,10/05,17,Economic,System,SOLR,0,2.0
27,10/05,19,Economic,System,SOLR,0,0.0
