,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,02/24,8,Economic,Local,SOLR,43.0,152.0
1,02/24,8,Economic,Local,WIND,0.0,1.0
2,02/24,8,Economic,System,SOLR,1.0,
3,02/24,9,Economic,Local,SOLR,39.0,76.0
4,02/24,9,Economic,Local,WIND,1.0,2.0
5,02/24,9,Economic,System,SOLR,47.0,143.0
6,02/24,9,Economic,System,WIND,0.0,5.0
7,02/24,10,Economic,Local,SOLR,64.0,77.0
8,02/24,10,Economic,Local,WIND,1.0,2.0
9,02/24,10,Economic,System,SOLR,10.0,18.0
10,02/24,11,Economic,Local,SOLR,68.0,58.0
11,02/24,11,Economic,Local,WIND,1.0,2.0
12,02/24,11,Economic,System,SOLR,15.0,137.0
13,02/24,12,Economic,Local,SOLR,75.0,91.0
14,02/24,12,Economic,Local,WIND,1.0,2.0
15,02/24,12,Economic,System,SOLR,69.0,454.0
16,02/24,12,Economic,System,WIND,1.0,4.0
17,02/24,13,Economic,Local,SOLR,85.0,82.0
18,02/24,13,Economic,Local,WIND,1.0,1.0
19,02/24,13,Economic,System,SOLR,182.0,304.0
20,02/24,13,Economic,System,WIND,1.0,2.0
21,02/24,14,Economic,Local,SOLR,79.0,101.0
22,02/24,14,Economic,Local,WIND,1.0,1.0
23,02/24,14,Economic,System,SOLR,183.0,660.0
24,02/24,14,Economic,System,WIND,1.0,3.0
25,02/24,15,Economic,Local,SOLR,35.0,
26,02/24,15,Economic,Local,WIND,1.0,
27,02/24,15,Economic,System,SOLR,714.0,850.0
28,02/24,15,Economic,System,WIND,3.0,4.0
29,02/24,16,Economic,System,SOLR,633,1128.0
30,02/24,16,Economic,System,WIND,3,3.0
31,02/24,17,Economic,Local,SOLR,1,
32,02/24,17,Economic,Local,WIND,0,
33,02/24,17,Economic,System,SOLR,289,975.0
34,02/24,17,Economic,System,WIND,21,87.0
35,02/24,18,Economic,System,SOLR,1,2.0
