,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,04/30,7,Economic,Local,SOLR,0.0,
2,04/30,7,Economic,System,SOLR,0.0,1.0
3,04/30,8,Economic,Local,SOLR,93.0,
4,04/30,8,Economic,Local,WIND,4.0,
5,04/30,8,Economic,System,SOLR,444.0,1215.0
6,04/30,8,Economic,System,WIND,30.0,111.0
7,04/30,8,SelfSchCut,System,SOLR,30.0,171.0
8,04/30,8,SelfSchCut,System,WIND,31.0,178.0
9,04/30,9,Economic,Local,SOLR,95.0,
10,04/30,9,Economic,System,SOLR,795.0,1212.0
11,04/30,9,Economic,System,WIND,3.0,36.0
12,04/30,9,SelfSchCut,Local,SOLR,1.0,
13,04/30,10,Economic,Local,SOLR,253.0,260.0
14,04/30,10,Economic,System,SOLR,1011.0,1133.0
15,04/30,10,Economic,System,WIND,0.0,0.0
16,04/30,10,ExDispatch,Local,SOLR,0.0,
17,04/30,10,SelfSchCut,Local,SOLR,6.0,9.0
18,04/30,11,Economic,Local,SOLR,235.0,110.0
19,04/30,11,Economic,Local,WIND,0.0,
20,04/30,11,Economic,System,SOLR,571.0,852.0
21,04/30,11,Economic,System,WIND,0.0,0.0
22,04/30,11,ExDispatch,Local,SOLR,7.0,7.0
23,04/30,11,SelfSchCut,Local,SOLR,8.0,8.0
24,04/30,12,Economic,Local,SOLR,31.0,32.0
25,04/30,12,Economic,System,SOLR,407.0,903.0
26,04/30,12,Economic,System,WIND,0.0,0.0
27,04/30,12,ExDispatch,Local,SOLR,9.0,8.0
28,04/30,12,SelfSchCut,Local,SOLR,12.0,8.0
29,04/30,13,Economic,Local,SOLR,42.0,31.0
30,04/30,13,Economic,System,SOLR,46.0,184.0
31,04/30,13,ExDispatch,Local,SOLR,19.0,14.0
32,04/30,13,SelfSchCut,Local,SOLR,3,13.0
33,04/30,14,Economic,Local,SOLR,23,13.0
34,04/30,14,Economic,System,SOLR,4,50.0
35,04/30,14,ExDispatch,Local,SOLR,16,13.0
36,04/30,14,ExDispatch,System,SOLR,4,7.0
37,04/30,14,SelfSchCut,Local,SOLR,0,0.0
38,04/30,15,Economic,Local,SOLR,39,26.0
39,04/30,15,Economic,System,SOLR,82,191.0
40,04/30,15,ExDispatch,Local,SOLR,14,12.0
41,04/30,15,ExDispatch,System,SOLR,4,7.0
42,04/30,15,SelfSchCut,Local,SOLR,0,
43,04/30,16,Economic,Local,SOLR,27,16.0
44,04/30,16,Economic,System,SOLR,357,640.0
45,04/30,16,Economic,System,WIND,0,0.0
46,04/30,16,ExDispatch,Local,SOLR,3,5.0
47,04/30,16,ExDispatch,System,SOLR,9,7.0
48,04/30,16,SelfSchCut,Local,SOLR,1,0.0
49,04/30,17,Economic,Local,SOLR,9,18.0
50,04/30,17,Economic,System,SOLR,205,608.0
51,04/30,17,ExDispatch,System,SOLR,1,4.0
52,04/30,17,SelfSchCut,Local,SOLR,1,
53,04/30,18,Economic,Local,SOLR,0,2.0
54,04/30,18,Economic,System,SOLR,6,38.0
55,04/30,18,SelfSchCut,Local,SOLR,0,3.0
56,04/30,20,SelfSchCut,Local,SOLR,0,0.0
