,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,03/29,8,Economic,Local,SOLR,1,5.0
1,03/29,8,Economic,System,SOLR,1,
2,03/29,9,Economic,Local,SOLR,128,22.0
3,03/29,9,Economic,Local,WIND,1,
4,03/29,9,Economic,System,SOLR,366,1133.0
5,03/29,9,Economic,System,WIND,3,
6,03/29,10,Economic,Local,SOLR,265,523.0
7,03/29,10,Economic,System,SOLR,6,
8,03/29,10,Economic,System,WIND,0,
9,03/29,10,SelfSchCut,Local,SOLR,1,1.0
10,03/29,11,Economic,Local,SOLR,245,564.0
11,03/29,12,Economic,Local,SOLR,73,225.0
12,03/29,13,Economic,Local,SOLR,48,51.0
13,03/29,13,Economic,System,SOLR,66,208.0
14,03/29,13,Economic,System,WIND,2,10.0
15,03/29,14,Economic,Local,SOLR,91,60.0
16,03/29,14,Economic,System,SOLR,62,220.0
17,03/29,14,Economic,System,WIND,1,
18,03/29,15,Economic,Local,SOLR,48,111.0
19,03/29,15,Economic,System,SOLR,2,15.0
20,03/29,16,Economic,Local,SOLR,91,104.0
21,03/29,16,Economic,System,SOLR,69,265.0
22,03/29,16,Economic,System,WIND,9,33.0
23,03/29,17,Economic,Local,SOLR,16,34.0
24,03/29,18,Economic,System,SOLR,152,809.0
25,03/29,18,Economic,System,WIND,5,9.0
26,03/29,18,SelfSchCut,Local,SOLR,0,
27,03/29,19,SelfSchCut,Local,SOLR,0,1.0
