,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/09,5,Economic,Local,WIND,0,1.0
1,11/09,7,Economic,Local,WIND,0,1.0
2,11/09,8,Economic,Local,SOLR,74,197.0
3,11/09,9,Economic,Local,SOLR,43,
4,11/09,9,Economic,System,SOLR,227,465.0
5,11/09,9,Economic,System,WIND,3,1.0
6,11/09,10,Economic,Local,SOLR,53,85.0
7,11/09,10,Economic,System,WIND,0,1.0
8,11/09,11,Economic,Local,SOLR,35,96.0
9,11/09,11,Economic,System,SOLR,1,1.0
10,11/09,12,Economic,Local,SOLR,2,10.0
11,11/09,12,Economic,System,SOLR,1,1.0
12,11/09,13,Economic,Local,SOLR,0,
13,11/09,13,Economic,System,SOLR,4,48.0
14,11/09,14,Economic,Local,WIND,2,
15,11/09,14,Economic,System,SOLR,158,1151.0
16,11/09,14,Economic,System,WIND,1,14.0
17,11/09,15,Economic,System,SOLR,192,1112.0
18,11/09,15,Economic,System,WIND,1,1.0
