,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,10/09,3,Economic,Local,WIND,0,2.0
1,10/09,8,Economic,Local,WIND,3,15.0
2,10/09,9,Economic,Local,SOLR,186,291.0
3,10/09,9,Economic,System,SOLR,3,
4,10/09,9,Economic,System,WIND,0,1.0
5,10/09,10,Economic,Local,SOLR,360,403.0
6,10/09,10,Economic,System,WIND,0,
7,10/09,11,Economic,Local,SOLR,357,363.0
8,10/09,11,Economic,Local,WIND,1,10.0
9,10/09,12,Economic,Local,SOLR,317,401.0
10,10/09,13,Economic,Local,SOLR,236,294.0
11,10/09,13,Economic,Local,WIND,4,
12,10/09,14,Economic,Local,SOLR,113,169.0
13,10/09,14,Economic,Local,WIND,4,21.0
14,10/09,15,Economic,Local,SOLR,83,149.0
15,10/09,15,Economic,Local,WIND,0,
16,10/09,16,Economic,Local,SOLR,13,83.0
17,10/09,23,Economic,Local,WIND,4,44.0
