,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,10/11,9,Economic,Local,SOLR,8,86.0
1,10/11,10,Economic,Local,SOLR,16,22.0
2,10/11,10,SelfSchCut,Local,SOLR,23,54.0
3,10/11,11,Economic,Local,SOLR,16,37.0
4,10/11,11,Economic,System,SOLR,0,
5,10/11,12,Economic,System,SOLR,0,1.0
6,10/11,14,Economic,System,SOLR,0,2.0
7,10/11,15,Economic,System,SOLR,0,2.0
8,10/11,16,Economic,System,SOLR,0,2.0
9,10/11,17,Economic,System,SOLR,1,2.0
10,10/11,18,Economic,System,SOLR,1,2.0
11,10/11,19,Economic,System,SOLR,0,1.0
