,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/01,1,Economic,Local,WIND,21,70.0
1,11/01,3,Economic,Local,WIND,18,106.0
2,11/01,3,Economic,System,WIND,39,125.0
3,11/01,4,Economic,Local,WIND,24,50.0
4,11/01,4,Economic,System,WIND,45,199.0
5,11/01,8,Economic,Local,WIND,3,20.0
6,11/01,9,Economic,Local,SOLR,19,111.0
7,11/01,9,Economic,Local,WIND,3,
8,11/01,10,Economic,Local,SOLR,97,149.0
9,11/01,11,Economic,Local,SOLR,266,530.0
10,11/01,11,Economic,Local,WIND,12,124.0
11,11/01,11,Economic,System,WIND,22,41.0
12,11/01,12,Economic,Local,SOLR,226,
13,11/01,12,Economic,Local,WIND,7,
14,11/01,12,Economic,System,SOLR,200,770.0
15,11/01,12,Economic,System,WIND,71,96.0
16,11/01,13,Economic,Local,SOLR,295,
17,11/01,13,Economic,Local,WIND,17,
18,11/01,13,Economic,System,SOLR,122,509.0
19,11/01,13,Economic,System,WIND,42,96.0
20,11/01,14,Economic,Local,SOLR,596,864.0
21,11/01,14,Economic,Local,WIND,49,67.0
22,11/01,14,Economic,System,SOLR,1,
23,11/01,14,Economic,System,WIND,10,29.0
24,11/01,15,Economic,Local,SOLR,530,833.0
25,11/01,15,Economic,Local,WIND,47,37.0
26,11/01,16,Economic,Local,SOLR,216,527.0
27,11/01,16,Economic,Local,WIND,63,89.0
28,11/01,16,Economic,System,WIND,3,17.0
29,11/01,20,Economic,Local,WIND,3,37.0
30,11/01,23,Economic,Local,WIND,2,25.0
