,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,03/15,5,Economic,System,WIND,6,8.0
1,03/15,9,Economic,Local,SOLR,11,54.0
2,03/15,10,Economic,Local,WIND,1,1.0
3,03/15,10,Economic,System,SOLR,5,18.0
4,03/15,11,Economic,Local,SOLR,4,22.0
5,03/15,11,Economic,Local,WIND,0,
6,03/15,11,Economic,System,SOLR,1,
7,03/15,12,Economic,Local,SOLR,1,
8,03/15,12,Economic,Local,WIND,1,3.0
9,03/15,12,Economic,System,SOLR,1,15.0
10,03/15,13,Economic,Local,SOLR,168,347.0
11,03/15,13,Economic,Local,WIND,6,6.0
12,03/15,13,Economic,System,SOLR,7,26.0
13,03/15,14,Economic,Local,SOLR,37,274.0
14,03/15,14,Economic,Local,WIND,5,9.0
15,03/15,14,Economic,System,SOLR,10,
16,03/15,14,Economic,System,WIND,4,
17,03/15,15,Economic,Local,SOLR,11,38.0
18,03/15,15,Economic,Local,WIND,6,7.0
19,03/15,15,Economic,System,SOLR,4,26.0
20,03/15,16,Economic,Local,SOLR,28,68.0
21,03/15,16,Economic,Local,WIND,7,13.0
22,03/15,16,Economic,System,SOLR,5,16.0
23,03/15,16,Economic,System,WIND,1,
24,03/15,17,Economic,Local,SOLR,3,25.0
25,03/15,17,Economic,Local,WIND,4,
26,03/15,18,Economic,Local,SOLR,3,
27,03/15,18,Economic,System,SOLR,1,13.0
28,03/15,24,Economic,System,WIND,50,125.0
