,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,01/25,8,Economic,Local,SOLR,53,191.0
1,01/25,9,Economic,Local,SOLR,371,529.0
2,01/25,9,Economic,Local,WIND,4,1.0
3,01/25,9,Economic,System,SOLR,47,275.0
4,01/25,9,Economic,System,WIND,0,1.0
5,01/25,10,Economic,Local,SOLR,104,14.0
6,01/25,10,Economic,Local,WIND,14,46.0
7,01/25,10,Economic,System,SOLR,108,585.0
8,01/25,10,Economic,System,WIND,0,1.0
9,01/25,10,SelfSchCut,Local,SOLR,1,
10,01/25,11,Economic,Local,SOLR,93,290.0
11,01/25,11,Economic,Local,WIND,48,47.0
12,01/25,11,Economic,System,SOLR,24,1.0
13,01/25,11,Economic,System,WIND,0,
14,01/25,11,SelfSchCut,Local,SOLR,0,
15,01/25,12,Economic,Local,SOLR,109,440.0
16,01/25,12,Economic,Local,WIND,15,57.0
17,01/25,12,Economic,System,SOLR,10,1.0
18,01/25,12,Economic,System,WIND,0,
19,01/25,13,Economic,Local,SOLR,90,157.0
20,01/25,13,Economic,Local,WIND,9,1.0
21,01/25,13,Economic,System,SOLR,134,522.0
22,01/25,13,Economic,System,WIND,0,1.0
23,01/25,14,Economic,Local,SOLR,0,
24,01/25,14,Economic,Local,WIND,62,94.0
25,01/25,14,Economic,System,SOLR,468,602.0
26,01/25,14,Economic,System,WIND,1,1.0
27,01/25,15,Economic,Local,SOLR,6,
28,01/25,15,Economic,Local,WIND,79,66.0
29,01/25,15,Economic,System,SOLR,192,355.0
30,01/25,15,Economic,System,WIND,1,1.0
31,01/25,16,Economic,Local,SOLR,108,321.0
32,01/25,16,Economic,Local,WIND,22,30.0
33,01/25,16,Economic,System,SOLR,49,264.0
34,01/25,16,Economic,System,WIND,0,0.0
35,01/25,17,Economic,System,SOLR,0,2.0
36,01/25,24,Economic,Local,WIND,3,24.0
