,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,12/14,10,Economic,Local,SOLR,3,39.0
1,12/14,10,Economic,Local,WIND,1,7.0
2,12/14,11,Economic,System,SOLR,0,2.0
3,12/14,14,Economic,System,SOLR,0,
4,12/14,14,Economic,System,WIND,0,5.0
5,12/14,15,Economic,Local,WIND,42,60.0
6,12/14,15,Economic,System,SOLR,0,
7,12/14,15,SelfSchCut,Local,WIND,1,3.0
8,12/14,16,Economic,Local,WIND,31,44.0
9,12/14,16,Economic,System,SOLR,1,2.0
10,12/14,16,SelfSchCut,Local,WIND,2,6.0
11,12/14,17,Economic,Local,WIND,7,31.0
12,12/14,17,SelfSchCut,Local,WIND,0,
13,12/14,18,Economic,Local,WIND,3,39.0
14,12/14,18,SelfSchCut,Local,WIND,0,2.0
