,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,10/03,1,Economic,Local,WIND,0.0,0.0
1,10/03,9,Economic,System,SOLR,0.0,2.0
2,10/03,10,Economic,Local,SOLR,151.0,483.0
3,10/03,10,Economic,Local,WIND,79.0,90.0
4,10/03,10,Economic,System,SOLR,2.0,1.0
5,10/03,10,Economic,System,WIND,1.0,
6,10/03,11,Economic,Local,SOLR,378.0,659.0
7,10/03,11,Economic,Local,WIND,86.0,87.0
8,10/03,12,Economic,Local,SOLR,454.0,579.0
9,10/03,12,Economic,Local,WIND,85.0,85.0
10,10/03,12,Economic,System,SOLR,0.0,
11,10/03,13,Economic,Local,SOLR,498.0,780.0
12,10/03,13,Economic,Local,WIND,71.0,67.0
13,10/03,13,SelfSchCut,Local,SOLR,0.0,
14,10/03,14,Economic,Local,SOLR,485.0,792.0
15,10/03,14,Economic,Local,WIND,66.0,59.0
16,10/03,14,ExDispatch,Local,SOLR,1.0,1.0
17,10/03,14,ExDispatch,Local,WIND,0.0,
18,10/03,14,SelfSchCut,Local,SOLR,0.0,
19,10/03,14,SelfSchCut,Local,WIND,0.0,
20,10/03,15,Economic,Local,SOLR,470.0,593.0
21,10/03,15,Economic,Local,WIND,72.0,89.0
22,10/03,15,ExDispatch,Local,SOLR,1.0,1.0
23,10/03,16,Economic,Local,SOLR,24.0,167.0
24,10/03,16,Economic,Local,WIND,47.0,60.0
25,10/03,16,Economic,System,WIND,2.0,
26,10/03,16,ExDispatch,System,SOLR,4.0,1.0
27,10/03,17,Economic,Local,SOLR,0.0,2.0
28,10/03,17,Economic,Local,WIND,18.0,72.0
29,10/03,17,Economic,System,SOLR,1,
30,10/03,17,ExDispatch,System,SOLR,1,
31,10/03,18,Economic,System,SOLR,1,2.0
32,10/03,19,Economic,System,SOLR,0,2.0
33,10/03,22,Economic,Local,WIND,99,248.0
34,10/03,23,Economic,Local,WIND,10,48.0
