,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,04/15,4,Economic,Local,WIND,3.0,33.0
2,04/15,8,Economic,Local,SOLR,0.0,
3,04/15,8,Economic,System,SOLR,2.0,7.0
4,04/15,9,Economic,Local,SOLR,1.0,
5,04/15,9,Economic,System,SOLR,417.0,940.0
6,04/15,9,Economic,System,WIND,0.0,0.0
7,04/15,10,Economic,Local,SOLR,5.0,
8,04/15,10,Economic,System,SOLR,252.0,830.0
9,04/15,10,Economic,System,WIND,0.0,0.0
10,04/15,11,Economic,Local,SOLR,11.0,13.0
11,04/15,11,Economic,System,SOLR,305.0,468.0
12,04/15,11,Economic,System,WIND,0.0,
13,04/15,12,Economic,Local,SOLR,14.0,15.0
14,04/15,12,Economic,System,SOLR,629.0,787.0
15,04/15,12,Economic,System,WIND,1.0,0.0
16,04/15,13,Economic,Local,SOLR,14.0,14.0
17,04/15,13,Economic,System,SOLR,877.0,1055.0
18,04/15,13,Economic,System,WIND,0.0,0.0
19,04/15,14,Economic,Local,SOLR,61.0,15.0
20,04/15,14,Economic,System,SOLR,253.0,368.0
21,04/15,14,Economic,System,WIND,1.0,2.0
22,04/15,14,SelfSchCut,Local,SOLR,0.0,
23,04/15,15,Economic,Local,SOLR,108.0,15.0
24,04/15,15,Economic,System,SOLR,178.0,300.0
25,04/15,16,Economic,Local,SOLR,104.0,291.0
26,04/15,16,Economic,System,SOLR,97.0,
27,04/15,17,Economic,Local,SOLR,4.0,11.0
28,04/15,17,Economic,System,SOLR,9.0,20.0
29,04/15,18,Economic,System,SOLR,22.0,160.0
30,04/15,19,Economic,Local,SOLR,2.0,10.0
31,04/15,19,Economic,System,SOLR,4.0,
