,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/06,2,Economic,Local,WIND,3,29.0
1,11/06,3,Economic,Local,WIND,12,46.0
2,11/06,4,Economic,Local,WIND,17,66.0
3,11/06,4,Economic,System,WIND,2,
4,11/06,5,Economic,Local,WIND,31,49.0
5,11/06,5,Economic,Local,WIND,31,49.0
6,11/06,6,Economic,Local,WIND,21,49.0
7,11/06,6,Economic,Local,WIND,21,49.0
8,11/06,6,Economic,Local,WIND,21,49.0
9,11/06,8,Economic,System,SOLR,294,809.0
10,11/06,8,Economic,System,WIND,61,126.0
11,11/06,9,Economic,Local,SOLR,112,
12,11/06,9,Economic,Local,WIND,82,
13,11/06,9,Economic,System,SOLR,42,342.0
14,11/06,9,Economic,System,WIND,15,89.0
15,11/06,10,Economic,Local,SOLR,204,318.0
16,11/06,10,Economic,Local,WIND,217,259.0
17,11/06,11,Economic,Local,SOLR,169,195.0
18,11/06,11,Economic,Local,WIND,172,239.0
19,11/06,12,Economic,Local,SOLR,140,155.0
20,11/06,12,Economic,Local,WIND,126,164.0
21,11/06,13,Economic,Local,SOLR,120,128.0
22,11/06,13,Economic,Local,WIND,115,157.0
23,11/06,14,Economic,Local,SOLR,96,130.0
24,11/06,14,Economic,Local,WIND,90,144.0
25,11/06,15,Economic,Local,SOLR,38,25.0
26,11/06,15,Economic,Local,WIND,133,205.0
27,11/06,16,Economic,Local,WIND,63,140.0
