,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,02/03,9,Economic,System,SOLR,12,69
1,02/03,9,Economic,System,WIND,3,26
2,02/03,15,Economic,System,SOLR,3,34
3,02/03,15,Economic,System,WIND,2,27
4,02/03,16,Economic,System,SOLR,58,276
5,02/03,16,Economic,System,WIND,35,76
6,02/03,17,Economic,System,SOLR,0,0
7,02/03,19,Economic,Local,WIND,2,19
8,02/03,20,Economic,Local,WIND,6,32
9,02/03,21,Economic,Local,WIND,120,152
10,02/03,22,Economic,Local,WIND,104,176
11,02/03,23,Economic,Local,WIND,138,189
12,02/03,24,Economic,Local,WIND,91,111
