,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,05/06,4,Economic,Local,WIND,1.0,9.0
2,05/06,7,Economic,System,SOLR,0.0,0.0
3,05/06,8,Economic,Local,WIND,3.0,12.0
4,05/06,8,Economic,System,SOLR,141.0,581.0
5,05/06,8,Economic,System,WIND,2.0,6.0
6,05/06,9,Economic,Local,WIND,1.0,9.0
7,05/06,9,Economic,System,SOLR,18.0,204.0
8,05/06,11,Economic,Local,SOLR,9.0,16.0
9,05/06,11,ExDispatch,Local,SOLR,4.0,8.0
10,05/06,11,SelfSchCut,Local,SOLR,0.0,
11,05/06,12,Economic,Local,SOLR,1.0,2.0
12,05/06,12,ExDispatch,Local,SOLR,5.0,8.0
13,05/06,12,ExDispatch,System,SOLR,1.0,
14,05/06,13,Economic,Local,SOLR,11.0,12.0
15,05/06,13,ExDispatch,Local,SOLR,5.0,6.0
16,05/06,14,Economic,Local,SOLR,11.0,12.0
17,05/06,14,ExDispatch,Local,SOLR,3.0,4.0
18,05/06,15,Economic,Local,SOLR,6.0,
19,05/06,15,Economic,System,SOLR,10.0,50.0
20,05/06,15,ExDispatch,Local,SOLR,1.0,
21,05/06,15,ExDispatch,System,SOLR,0.0,
22,05/06,16,Economic,Local,SOLR,15.0,
23,05/06,16,Economic,System,SOLR,101.0,265.0
24,05/06,16,ExDispatch,Local,SOLR,0.0,
25,05/06,17,Economic,Local,SOLR,4.0,
26,05/06,17,Economic,System,SOLR,8.0,37.0
27,05/06,17,ExDispatch,Local,SOLR,0.0,
28,05/06,18,Economic,System,SOLR,2.0,12.0
29,05/06,19,Economic,System,SOLR,0.0,1.0
