,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,04/08,9,Economic,Local,SOLR,0,3.0
1,04/08,10,Economic,Local,SOLR,18,
2,04/08,10,Economic,System,SOLR,31,273.0
3,04/08,10,Economic,System,WIND,2,21.0
4,04/08,11,Economic,Local,SOLR,8,13.0
5,04/08,11,Economic,System,SOLR,485,1289.0
6,04/08,11,Economic,System,WIND,5,13.0
7,04/08,12,Economic,Local,SOLR,266,12.0
8,04/08,12,Economic,Local,WIND,1,
9,04/08,12,Economic,System,SOLR,1358,1719.0
10,04/08,12,Economic,System,WIND,54,271.0
11,04/08,12,SelfSchCut,Local,SOLR,11,
12,04/08,13,Economic,Local,SOLR,146,
13,04/08,13,Economic,Local,WIND,3,
14,04/08,13,Economic,System,SOLR,1548,1680.0
15,04/08,13,Economic,System,WIND,215,414.0
16,04/08,14,Economic,Local,SOLR,256,
17,04/08,14,Economic,Local,WIND,11,
18,04/08,14,Economic,System,SOLR,1263,1617.0
19,04/08,14,Economic,System,WIND,104,368.0
20,04/08,15,Economic,System,SOLR,1463,1500.0
21,04/08,15,Economic,System,WIND,51,178.0
22,04/08,16,Economic,Local,SOLR,490,
23,04/08,16,Economic,Local,WIND,31,
24,04/08,16,Economic,System,SOLR,954,1496.0
25,04/08,16,Economic,System,WIND,66,268.0
26,04/08,17,Economic,System,SOLR,1035,1456.0
27,04/08,17,Economic,System,WIND,40,201.0
28,04/08,18,Economic,System,SOLR,401,1270.0
29,04/08,18,Economic,System,WIND,15,90.0
30,04/08,19,Economic,Local,SOLR,0,
31,04/08,19,Economic,System,SOLR,0,2.0
