,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,02/05,1,Economic,Local,WIND,11,31.0
1,02/05,4,Economic,Local,WIND,5,17.0
2,02/05,5,Economic,Local,WIND,63,91.0
3,02/05,6,Economic,Local,WIND,103,209.0
4,02/05,7,Economic,Local,WIND,97,106.0
5,02/05,8,Economic,Local,WIND,83,116.0
6,02/05,9,Economic,Local,WIND,39,53.0
7,02/05,10,Economic,Local,WIND,28,38.0
8,02/05,11,Economic,Local,WIND,42,52.0
9,02/05,12,Economic,Local,WIND,3,20.0
10,02/05,12,Economic,System,SOLR,0,
11,02/05,13,Economic,Local,WIND,11,47.0
12,02/05,14,Economic,Local,WIND,74,102.0
13,02/05,15,Economic,Local,WIND,39,114.0
14,02/05,16,Economic,Local,WIND,6,33.0
15,02/05,16,Economic,System,SOLR,1,
16,02/05,17,Economic,System,SOLR,1,2.0
17,02/05,18,Economic,System,SOLR,0,1.0
18,02/05,19,Economic,Local,WIND,10,46.0
19,02/05,20,Economic,Local,WIND,39,53.0
20,02/05,21,Economic,Local,WIND,1,9.0
21,02/05,24,Economic,Local,WIND,3,26.0
