,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,04/26,5,Economic,System,WIND,10.0,36.0
2,04/26,6,Economic,System,WIND,8.0,53.0
3,04/26,8,Economic,Local,SOLR,0.0,3.0
4,04/26,9,Economic,Local,SOLR,7.0,13.0
5,04/26,10,Economic,Local,SOLR,11.0,50.0
6,04/26,10,SelfSchCut,Local,SOLR,1.0,
7,04/26,11,Economic,Local,SOLR,47.0,152.0
8,04/26,11,Economic,System,SOLR,14.0,
9,04/26,11,SelfSchCut,Local,SOLR,1.0,
10,04/26,12,Economic,Local,SOLR,25.0,35.0
11,04/26,13,Economic,Local,SOLR,157.0,251.0
12,04/26,13,Economic,System,SOLR,4.0,
13,04/26,13,SelfSchCut,Local,SOLR,36.0,114.0
14,04/26,13,SelfSchCut,Local,WIND,65.0,169.0
15,04/26,14,Economic,Local,SOLR,111.0,178.0
16,04/26,14,Economic,System,SOLR,3.0,34.0
17,04/26,14,SelfSchCut,Local,SOLR,6.0,40.0
18,04/26,14,SelfSchCut,Local,WIND,12.0,28.0
19,04/26,15,Economic,Local,SOLR,4.0,4.0
20,04/26,15,Economic,System,SOLR,1.0,7.0
21,04/26,16,Economic,Local,SOLR,10.0,51.0
22,04/26,17,Economic,Local,SOLR,11.0,54.0
23,04/26,18,Economic,Local,SOLR,3.0,10.0
24,04/26,19,Economic,System,SOLR,0.0,0.0
