,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,,R,,,,MWH,MW
1,01/21,9,Economic,System,SOLR,,568
2,01/21,9,Economic,System,WIND,,113
3,01/21,10,Economic,Local,SOLR,,900
4,01/21,10,Economic,Local,WIND,,335
5,01/21,10,Economic,System,SOLR,,
6,01/21,10,Economic,System,WIND,,
7,01/21,10,SelfSchCut,Local,SOLR,,572
8,01/21,10,SelfSchCut,Local,WIND,,34
9,01/21,11,Economic,Local,SOLR,,859
10,01/21,11,Economic,Local,WIND,,270
11,01/21,11,SelfSchCut,Local,SOLR,,587
12,01/21,11,SelfSchCut,Local,WIND,,360
13,01/21,12,Economic,Local,SOLR,,697
14,01/21,12,Economic,Local,WIND,,294
15,01/21,12,SelfSchCut,Local,SOLR,,253
16,01/21,12,SelfSchCut,Local,WIND,,109
17,01/21,13,Economic,Local,SOLR,,646
18,01/21,13,Economic,Local,WIND,,113
19,01/21,14,Economic,Local,SOLR,,366
20,01/21,14,Economic,Local,WIND,,77
21,01/21,14,SelfSchCut,Local,SOLR,,
22,01/21,15,Economic,Local,SOLR,,161
23,01/21,15,Economic,Local,WIND,,74
24,01/21,15,SelfSchCut,Local,SOLR,,8
25,01/21,16,Economic,Local,SOLR,,7
26,01/21,16,Economic,System,SOLR,,2
27,01/21,16,SelfSchCut,Local,SOLR,,15
28,01/21,17,Economic,System,SOLR,,0
