,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,04/11,12,Economic,Local,SOLR,4,16.0
1,04/11,12,Economic,System,SOLR,1,
2,04/11,13,Economic,Local,SOLR,15,11.0
3,04/11,13,Economic,System,SOLR,106,525.0
4,04/11,13,Economic,System,WIND,0,1.0
5,04/11,14,Economic,Local,SOLR,14,38.0
6,04/11,14,Economic,System,SOLR,1,
7,04/11,15,Economic,Local,SOLR,21,9.0
8,04/11,15,Economic,System,SOLR,11,39.0
9,04/11,16,Economic,Local,SOLR,48,335.0
10,04/11,16,Economic,Local,WIND,5,32.0
11,04/11,16,Economic,System,SOLR,32,
12,04/11,16,Economic,System,WIND,4,
13,04/11,17,Economic,Local,SOLR,2,1.0
14,04/11,17,Economic,System,SOLR,3,18.0
15,04/11,19,Economic,Local,SOLR,0,1.0
