,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/29,2,Economic,Local,WIND,41.0,50.0
1,11/29,2,Economic,Local,WIND,41.0,50.0
2,11/29,2,Economic,Local,WIND,41.0,50.0
3,11/29,2,Economic,Local,WIND,41.0,50.0
4,11/29,2,Economic,Local,WIND,41.0,50.0
5,11/29,3,Economic,Local,WIND,94.0,176.0
6,11/29,4,Economic,Local,WIND,147.0,169.0
7,11/29,5,Economic,Local,WIND,94.0,108.0
8,11/29,6,Economic,Local,WIND,105.0,151.0
9,11/29,7,Economic,Local,WIND,48.0,122.0
10,11/29,8,Economic,Local,SOLR,2.0,14.0
11,11/29,9,Economic,Local,SOLR,259.0,436.0
12,11/29,9,Economic,Local,WIND,43.0,16.0
13,11/29,10,Economic,Local,SOLR,415.0,517.0
14,11/29,10,Economic,Local,WIND,3.0,7.0
15,11/29,10,Economic,System,SOLR,0.0,
16,11/29,10,Economic,System,WIND,2.0,26.0
17,11/29,11,Economic,Local,SOLR,403.0,424.0
18,11/29,11,Economic,Local,WIND,61.0,74.0
19,11/29,12,Economic,Local,SOLR,471.0,550.0
20,11/29,12,Economic,Local,WIND,109.0,130.0
21,11/29,12,Economic,System,SOLR,0.0,1.0
22,11/29,13,Economic,Local,SOLR,516.0,600.0
23,11/29,13,Economic,Local,WIND,92.0,117.0
24,11/29,14,Economic,Local,SOLR,465.0,600.0
25,11/29,14,Economic,Local,WIND,59.0,79.0
26,11/29,14,Economic,System,SOLR,0.0,
27,11/29,14,Economic,System,WIND,0.0,
28,11/29,15,Economic,Local,SOLR,240.0,568.0
29,11/29,15,Economic,Local,WIND,20,42.0
30,11/29,15,Economic,System,SOLR,0,
31,11/29,15,Economic,System,WIND,1,4.0
32,11/29,16,Economic,Local,SOLR,87,299.0
33,11/29,16,Economic,Local,WIND,14,47.0
34,11/29,17,Economic,Local,SOLR,2,26.0
35,11/29,17,Economic,Local,WIND,6,36.0
36,11/29,24,SelfSchCut,Local,WIND,0,0.0
