,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,05/01,8,Economic,Local,SOLR,4.0,
2,05/01,8,Economic,System,SOLR,4.0,18.0
3,05/01,9,Economic,Local,SOLR,10.0,14.0
4,05/01,9,Economic,System,SOLR,11.0,30.0
5,05/01,9,SelfSchCut,Local,SOLR,0.0,
6,05/01,10,Economic,Local,SOLR,21.0,52.0
7,05/01,11,Economic,Local,SOLR,16.0,20.0
8,05/01,11,ExDispatch,Local,SOLR,2.0,2.0
9,05/01,11,SelfSchCut,Local,SOLR,0.0,
10,05/01,12,Economic,Local,SOLR,23.0,28.0
11,05/01,12,ExDispatch,Local,SOLR,4.0,5.0
12,05/01,12,SelfSchCut,Local,SOLR,1.0,
13,05/01,13,Economic,Local,SOLR,27.0,33.0
14,05/01,13,ExDispatch,Local,SOLR,3.0,5.0
15,05/01,13,SelfSchCut,Local,SOLR,3.0,6.0
16,05/01,14,Economic,Local,SOLR,14.0,10.0
17,05/01,14,Economic,System,SOLR,6.0,46.0
18,05/01,14,ExDispatch,Local,SOLR,4.0,5.0
19,05/01,14,SelfSchCut,Local,SOLR,2.0,
20,05/01,15,Economic,Local,SOLR,16.0,16.0
21,05/01,15,Economic,System,SOLR,6.0,25.0
22,05/01,15,ExDispatch,Local,SOLR,5.0,5.0
23,05/01,15,SelfSchCut,Local,SOLR,2.0,3.0
24,05/01,16,Economic,Local,SOLR,18.0,31.0
25,05/01,16,ExDispatch,Local,SOLR,5.0,5.0
26,05/01,16,SelfSchCut,Local,SOLR,0.0,1.0
27,05/01,17,Economic,Local,SOLR,17.0,28.0
28,05/01,17,ExDispatch,Local,SOLR,2.0,4.0
29,05/01,18,Economic,Local,SOLR,0.0,
30,05/01,18,Economic,System,SOLR,1.0,10.0
