,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,09/27,11,Economic,Local,SOLR,0,2.0
1,09/27,12,Economic,Local,SOLR,11,72.0
2,09/27,12,Economic,Local,WIND,57,216.0
3,09/27,12,SelfSchCut,Local,SOLR,2,
4,09/27,13,Economic,Local,SOLR,56,14.0
5,09/27,13,Economic,Local,WIND,22,179.0
6,09/27,14,Economic,Local,SOLR,217,280.0
7,09/27,14,Economic,Local,WIND,5,
8,09/27,14,SelfSchCut,Local,SOLR,0,
9,09/27,15,Economic,Local,SOLR,240,211.0
10,09/27,15,Economic,Local,WIND,15,87.0
11,09/27,15,SelfSchCut,Local,SOLR,1,8.0
12,09/27,16,Economic,Local,SOLR,241,288.0
13,09/27,17,Economic,Local,SOLR,229,288.0
14,09/27,17,Economic,System,SOLR,1,2.0
15,09/27,18,Economic,System,SOLR,2,2.0
16,09/27,19,Economic,System,SOLR,1,2.0
