,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,01/29,1,Economic,Local,WIND,214.0,258.0
1,01/29,2,Economic,Local,WIND,201.0,216.0
2,01/29,3,Economic,Local,WIND,221.0,239.0
3,01/29,4,Economic,Local,WIND,239.0,264.0
4,01/29,5,Economic,Local,WIND,249.0,264.0
5,01/29,6,Economic,Local,WIND,252.0,273.0
6,01/29,7,Economic,Local,WIND,250.0,261.0
7,01/29,8,Economic,Local,WIND,216.0,255.0
8,01/29,9,Economic,Local,SOLR,2.0,
9,01/29,9,Economic,Local,WIND,183.0,
10,01/29,9,Economic,System,SOLR,362.0,1084.0
11,01/29,9,Economic,System,WIND,35.0,293.0
12,01/29,10,Economic,Local,SOLR,213.0,298.0
13,01/29,10,Economic,Local,WIND,257.0,470.0
14,01/29,10,Economic,System,SOLR,288.0,458.0
15,01/29,10,Economic,System,WIND,1.0,0.0
16,01/29,10,SelfSchCut,Local,SOLR,2.0,
17,01/29,11,Economic,Local,SOLR,196.0,263.0
18,01/29,11,Economic,Local,WIND,261.0,275.0
19,01/29,11,Economic,System,SOLR,161.0,450.0
20,01/29,11,Economic,System,WIND,0.0,0.0
21,01/29,11,SelfSchCut,Local,SOLR,2.0,
22,01/29,12,Economic,Local,SOLR,255.0,258.0
23,01/29,12,Economic,Local,WIND,255.0,279.0
24,01/29,12,Economic,System,SOLR,355.0,520.0
25,01/29,12,Economic,System,WIND,0.0,0.0
26,01/29,13,Economic,Local,SOLR,405.0,244.0
27,01/29,13,Economic,Local,WIND,239.0,280.0
28,01/29,13,Economic,System,SOLR,147.0,434.0
29,01/29,13,SelfSchCut,Local,SOLR,1,
30,01/29,14,Economic,Local,SOLR,193,246.0
31,01/29,14,Economic,Local,WIND,234,230.0
32,01/29,14,Economic,System,SOLR,24,225.0
33,01/29,15,Economic,Local,SOLR,232,213.0
34,01/29,15,Economic,Local,WIND,230,210.0
35,01/29,15,Economic,System,SOLR,161,478.0
36,01/29,15,Economic,System,WIND,2,
37,01/29,16,Economic,Local,SOLR,98,187.0
38,01/29,16,Economic,Local,WIND,214,338.0
39,01/29,16,Economic,System,SOLR,389,841.0
40,01/29,16,Economic,System,WIND,18,29.0
41,01/29,17,Economic,Local,SOLR,0,
42,01/29,17,Economic,Local,WIND,103,170.0
43,01/29,17,Economic,System,SOLR,0,
44,01/29,18,Economic,Local,WIND,35,80.0
45,01/29,19,Economic,Local,WIND,55,103.0
46,01/29,20,Economic,Local,WIND,155,199.0
47,01/29,21,Economic,Local,WIND,154,187.0
48,01/29,22,Economic,Local,WIND,155,193.0
49,01/29,23,Economic,Local,WIND,158,208.0
50,01/29,24,Economic,Local,WIND,156,216.0
