,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,02/06,1,Economic,Local,WIND,33,51.0
1,02/06,2,Economic,Local,WIND,5,14.0
2,02/06,6,Economic,Local,WIND,25,73.0
3,02/06,7,Economic,Local,WIND,39,73.0
4,02/06,8,Economic,Local,WIND,30,51.0
5,02/06,9,Economic,Local,WIND,18,43.0
6,02/06,10,Economic,Local,WIND,4,17.0
7,02/06,13,Economic,Local,WIND,59,139.0
8,02/06,13,Economic,System,SOLR,0,
9,02/06,14,Economic,Local,WIND,75,179.0
10,02/06,14,Economic,System,SOLR,0,0.0
11,02/06,15,Economic,Local,WIND,88,150.0
12,02/06,16,Economic,Local,WIND,38,64.0
13,02/06,17,Economic,Local,WIND,47,76.0
14,02/06,17,Economic,System,SOLR,0,
15,02/06,18,Economic,Local,WIND,6,27.0
16,02/06,19,Economic,Local,WIND,7,20.0
17,02/06,21,Economic,Local,WIND,6,36.0
18,02/06,22,Economic,Local,WIND,54,68.0
19,02/06,23,Economic,Local,WIND,78,125.0
20,02/06,24,Economic,Local,WIND,107,147.0
