,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,04/04,1,Economic,System,WIND,6,73.0
1,04/04,3,Economic,System,WIND,3,39.0
2,04/04,5,Economic,System,WIND,4,26.0
3,04/04,9,Economic,Local,SOLR,0,
4,04/04,9,Economic,System,SOLR,92,251.0
5,04/04,9,Economic,System,WIND,1,4.0
6,04/04,10,Economic,Local,SOLR,2,
7,04/04,10,Economic,System,SOLR,1,11.0
8,04/04,11,Economic,Local,SOLR,7,13.0
9,04/04,12,Economic,Local,SOLR,20,25.0
10,04/04,12,Economic,System,SOLR,1,15.0
11,04/04,13,Economic,Local,SOLR,38,72.0
12,04/04,13,Economic,System,SOLR,6,
13,04/04,13,SelfSchCut,Local,SOLR,0,
14,04/04,14,Economic,Local,SOLR,30,34.0
15,04/04,14,SelfSchCut,Local,SOLR,0,
16,04/04,15,Economic,Local,SOLR,9,27.0
17,04/04,16,Economic,Local,SOLR,3,9.0
18,04/04,16,Economic,System,SOLR,0,
19,04/04,17,Economic,Local,SOLR,0,
20,04/04,17,Economic,System,SOLR,0,5.0
21,04/04,18,Economic,Local,SOLR,1,11.0
22,04/04,18,Economic,System,SOLR,1,
