,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,04/25,8,Economic,Local,SOLR,1.0,
2,04/25,8,Economic,System,SOLR,1.0,6.0
3,04/25,9,Economic,Local,SOLR,26.0,96.0
4,04/25,9,Economic,System,SOLR,158.0,684.0
5,04/25,9,Economic,System,WIND,3.0,13.0
6,04/25,10,Economic,Local,SOLR,61.0,401.0
7,04/25,10,Economic,Local,WIND,1.0,11.0
8,04/25,10,Economic,System,SOLR,7.0,
9,04/25,10,SelfSchCut,Local,WIND,2.0,
10,04/25,11,Economic,Local,SOLR,16.0,6.0
11,04/25,11,Economic,Local,WIND,18.0,45.0
12,04/25,11,Economic,System,SOLR,10.0,34.0
13,04/25,11,SelfSchCut,Local,SOLR,0.0,1.0
14,04/25,11,SelfSchCut,Local,WIND,6.0,12.0
15,04/25,12,Economic,Local,SOLR,54.0,277.0
16,04/25,12,Economic,Local,WIND,4.0,
17,04/25,12,Economic,System,SOLR,223.0,474.0
18,04/25,12,Economic,System,WIND,6.0,15.0
19,04/25,13,Economic,Local,SOLR,29.0,12.0
20,04/25,13,Economic,System,SOLR,52.0,244.0
21,04/25,13,Economic,System,WIND,5.0,19.0
22,04/25,14,Economic,Local,SOLR,41.0,35.0
23,04/25,14,Economic,System,SOLR,159.0,1056.0
24,04/25,14,Economic,System,WIND,4.0,28.0
25,04/25,14,SelfSchCut,Local,SOLR,5.0,8.0
26,04/25,15,Economic,Local,SOLR,80.0,54.0
27,04/25,15,Economic,Local,WIND,1.0,
28,04/25,15,Economic,System,SOLR,359.0,795.0
29,04/25,15,Economic,System,WIND,13.0,8.0
30,04/25,15,SelfSchCut,Local,SOLR,5.0,3.0
31,04/25,16,Economic,Local,SOLR,59.0,17.0
32,04/25,16,Economic,Local,WIND,4,
33,04/25,16,Economic,System,SOLR,205,844.0
34,04/25,16,Economic,System,WIND,10,6.0
35,04/25,16,SelfSchCut,Local,SOLR,3,5.0
36,04/25,17,Economic,Local,SOLR,37,42.0
37,04/25,17,Economic,System,SOLR,116,433.0
38,04/25,17,Economic,System,WIND,12,3.0
39,04/25,18,Economic,Local,SOLR,12,23.0
40,04/25,18,Economic,System,SOLR,100,689.0
41,04/25,18,Economic,System,WIND,11,65.0
42,04/25,24,Economic,System,WIND,0,4.0
