,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,01/17,8,Economic,System,SOLR,1,9.0
1,01/17,10,Economic,Local,SOLR,6,11.0
2,01/17,11,Economic,Local,SOLR,9,15.0
3,01/17,11,Economic,System,SOLR,0,
4,01/17,12,Economic,Local,SOLR,5,9.0
5,01/17,12,Economic,System,SOLR,0,2.0
6,01/17,13,Economic,Local,SOLR,0,
7,01/17,13,Economic,Local,WIND,26,315.0
8,01/17,13,Economic,System,SOLR,1,8.0
9,01/17,13,Economic,System,WIND,0,0.0
10,01/17,14,Economic,Local,WIND,6,74.0
11,01/17,14,Economic,System,SOLR,0,
12,01/17,15,Economic,Local,WIND,25,130.0
13,01/17,16,Economic,Local,WIND,79,295.0
14,01/17,16,Economic,System,SOLR,0,
15,01/17,17,Economic,System,SOLR,0,0.0
