,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
0,11/15,9,Economic,Local,WIND,39,
1,11/15,9,Economic,System,SOLR,42,274.0
2,11/15,9,Economic,System,WIND,2,10.0
3,11/15,10,Economic,System,SOLR,0,2.0
4,11/15,10,Economic,System,WIND,0,1.0
5,11/15,11,Economic,System,SOLR,0,1.0
6,11/15,12,Economic,Local,WIND,24,52.0
7,11/15,13,Economic,Local,WIND,58,78.0
8,11/15,14,Economic,Local,WIND,5,38.0
9,11/15,14,Economic,System,WIND,7,8.0
10,11/15,15,Economic,System,SOLR,0,
11,11/15,15,Economic,System,WIND,12,146.0
12,11/15,16,Economic,Local,SOLR,0,2.0
13,11/15,16,Economic,System,SOLR,0,
14,11/15,21,Economic,Local,WIND,30,87.0
