,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,05/02,8,Economic,Local,SOLR,2.0,21.0
2,05/02,8,Economic,System,SOLR,2.0,
3,05/02,9,Economic,Local,SOLR,8.0,32.0
4,05/02,9,Economic,System,SOLR,2.0,
5,05/02,10,Economic,Local,SOLR,13.0,6.0
6,05/02,10,Economic,System,SOLR,2.0,23.0
7,05/02,10,SelfSchCut,Local,SOLR,5.0,
8,05/02,11,Economic,Local,SOLR,11.0,15.0
9,05/02,11,ExDispatch,Local,SOLR,0.0,1.0
10,05/02,11,SelfSchCut,Local,SOLR,4.0,6.0
11,05/02,12,Economic,Local,SOLR,20.0,19.0
12,05/02,12,ExDispatch,Local,SOLR,10.0,9.0
13,05/02,12,SelfSchCut,Local,SOLR,1.0,7.0
14,05/02,13,Economic,Local,SOLR,8.0,9.0
15,05/02,13,ExDispatch,Local,SOLR,11.0,11.0
16,05/02,14,Economic,Local,SOLR,6.0,11.0
17,05/02,14,ExDispatch,Local,SOLR,9.0,12.0
18,05/02,14,ExDispatch,System,SOLR,3.0,
19,05/02,15,Economic,Local,SOLR,0.0,2.0
20,05/02,15,ExDispatch,Local,SOLR,3.0,
21,05/02,15,ExDispatch,System,SOLR,7.0,11.0
22,05/02,15,SelfSchCut,Local,SOLR,2.0,5.0
23,05/02,16,ExDispatch,Local,SOLR,2.0,
24,05/02,16,ExDispatch,System,SOLR,3.0,8.0
25,05/02,16,SelfSchCut,Local,SOLR,0.0,0.0
26,05/02,17,Economic,Local,SOLR,0.0,0.0
27,05/02,17,SelfSchCut,Local,SOLR,0.0,
28,05/02,18,Economic,Local,SOLR,0.0,0.0
29,05/02,19,Economic,Local,SOLR,5.0,56.0
30,05/02,19,Economic,System,SOLR,0.0,
