,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,04/13,1,Economic,Local,WIND,115.0,212.0
2,04/13,2,Economic,Local,WIND,20.0,87.0
3,04/13,3,Economic,Local,WIND,31.0,94.0
4,04/13,4,Economic,Local,WIND,25.0,84.0
5,04/13,5,Economic,Local,WIND,4.0,24.0
6,04/13,8,Economic,Local,SOLR,0.0,5.0
7,04/13,9,Economic,Local,SOLR,3.0,
8,04/13,9,Economic,System,SOLR,4.0,13.0
9,04/13,10,Economic,Local,SOLR,1.0,
10,04/13,10,Economic,System,SOLR,0.0,
11,04/13,10,SelfSchCut,Local,WIND,3.0,33.0
12,04/13,11,Economic,Local,SOLR,68.0,3.0
13,04/13,11,Economic,System,SOLR,353.0,1354.0
14,04/13,11,Economic,System,WIND,5.0,9.0
15,04/13,12,Economic,Local,SOLR,110.0,3.0
16,04/13,12,Economic,Local,WIND,0.0,
17,04/13,12,Economic,System,SOLR,427.0,1192.0
18,04/13,12,Economic,System,WIND,4.0,3.0
19,04/13,13,Economic,Local,SOLR,132.0,271.0
20,04/13,13,Economic,System,SOLR,39.0,
21,04/13,15,Economic,Local,SOLR,41.0,225.0
22,04/13,15,Economic,System,SOLR,43.0,
23,04/13,16,Economic,Local,SOLR,84.0,267.0
24,04/13,16,Economic,System,SOLR,56.0,
25,04/13,17,Economic,Local,SOLR,30.0,
26,04/13,17,Economic,System,SOLR,116.0,201.0
27,04/13,18,Economic,Local,SOLR,56.0,392.0
28,04/13,18,Economic,Local,WIND,6.0,69.0
29,04/13,18,Economic,System,SOLR,1.0,
30,04/13,18,Economic,System,WIND,0.0,
31,04/13,19,Economic,Local,SOLR,115.0,326.0
32,04/13,19,Economic,Local,WIND,76,182.0
33,04/13,19,Economic,System,SOLR,5,
34,04/13,23,Economic,Local,WIND,3,39.0
35,04/13,24,Economic,Local,WIND,30,125.0
1,04/14,1,Economic,Local,WIND,37.0,102.0
2,04/14,8,Economic,Local,SOLR,0.0,
3,04/14,8,Economic,System,SOLR,175.0,823.0
4,04/14,8,Economic,System,WIND,3.0,11.0
5,04/14,9,Economic,Local,SOLR,197.0,
6,04/14,9,Economic,Local,WIND,0.0,
7,04/14,9,Economic,System,SOLR,564.0,1197.0
8,04/14,9,Economic,System,WIND,2.0,3.0
9,04/14,10,Economic,System,SOLR,272.0,677.0
10,04/14,10,Economic,System,WIND,0.0,1.0
11,04/14,11,Economic,Local,SOLR,61.0,555.0
12,04/14,11,Economic,Local,WIND,0.0,2.0
13,04/14,11,Economic,System,SOLR,356.0,570.0
14,04/14,11,Economic,System,WIND,1.0,
