,DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
1,07/16,2,Economic,Local,WIND,17,30
2,07/16,4,Economic,Local,WIND,0,0
3,07/16,7,Economic,Local,WIND,0,1
4,07/16,11,Economic,Local,SOLR,108,417
5,07/16,12,Economic,Local,SOLR,53,195
6,07/16,21,Economic,Local,WIND,13,152
0,07/17,1,Economic,Local,WIND,0,0
0,07/18,8,Economic,Local,WIND,1,6
1,07/18,21,Economic,Local,SOLR,0,2
2,07/18,24,Economic,Local,WIND,4,51
0,07/19,4,Economic,Local,WIND,1,8
1,07/19,7,Economic,Local,WIND,25,61
2,07/19,13,Economic,Local,WIND,0,1
3,07/19,14,Economic,Local,SOLR,5,60
4,07/19,17,Economic,Local,SOLR,66,437
0,07/20,1,Economic,Local,WIND,1,13.0
1,07/20,8,SelfSchCut,Local,SOLR,73,113.0
2,07/20,9,SelfSchCut,Local,SOLR,34,139.0
3,07/20,13,Economic,Local,SOLR,14,163.0
4,07/20,13,Economic,Local,WIND,0,
5,07/20,14,Economic,Local,SOLR,49,258.0
6,07/20,15,Economic,Local,WIND,0,0.0
0,07/21,7,Economic,Local,WIND,1,10
1,07/21,10,Economic,Local,WIND,0,2
0,07/22,4,Economic,Local,WIND,3,34
1,07/22,10,Economic,Local,WIND,1,13
2,07/22,16,Economic,Local,SOLR,73,544
3,07/22,24,Economic,Local,WIND,1,11
0,07/23,8,Economic,Local,WIND,16,52
1,07/23,11,Economic,Local,SOLR,7,61
2,07/23,12,Economic,Local,SOLR,11,85
3,07/23,13,Economic,Local,SOLR,44,281
4,07/23,14,Economic,Local,SOLR,57,138
5,07/23,16,Economic,Local,SOLR,48,350
0,07/24,13,Economic,Local,SOLR,0,2
1,07/24,17,Economic,Local,SOLR,62,128
2,07/24,18,Economic,Local,SOLR,5,19
0,07/25,9,Economic,Local,SOLR,2,26
1,07/25,21,SelfSchCut,Local,WIND,3,8
2,07/25,22,SelfSchCut,Local,WIND,1,11
0,07/26,1,Economic,Local,WIND,2,21.0
1,07/26,6,Economic,Local,WIND,22,110.0
2,07/26,6,SelfSchCut,Local,WIND,0,
3,07/26,7,Economic,Local,WIND,3,32.0
4,07/26,9,Economic,Local,WIND,2,20.0
5,07/26,13,SelfSchCut,Local,WIND,3,12.0
0,07/27,1,Economic,Local,WIND,0,6
0,07/29,9,Economic,Local,SOLR,5,62
1,07/29,10,Economic,Local,SOLR,1,8
2,07/29,11,Economic,Local,SOLR,0,2
3,07/29,13,Economic,Local,SOLR,2,21
4,07/29,19,Economic,Local,WIND,2,27
5,07/29,20,Economic,Local,WIND,26,63
6,07/29,21,Economic,Local,WIND,4,50
7,07/29,24,Economic,Local,WIND,5,44
0,07/30,8,Economic,Local,WIND,1,10
1,07/30,12,Economic,Local,SOLR,41,176
2,07/30,13,Economic,Local,SOLR,55,191
3,07/30,14,Economic,Local,SOLR,14,61
4,07/30,15,Economic,Local,SOLR,11,65
0,07/31,5,Economic,Local,WIND,1,9
1,07/31,7,Economic,Local,WIND,0,2
2,07/31,22,Economic,Local,WIND,0,0
0,08/02,2,Economic,Local,WIND,11,66.0
1,08/02,4,Economic,Local,WIND,1,16.0
2,08/02,7,Economic,Local,WIND,27,50.0
3,08/02,8,Economic,Local,WIND,1,9.0
4,08/02,9,Economic,Local,SOLR,4,29.0
5,08/02,9,Economic,Local,WIND,1,
6,08/02,10,Economic,Local,WIND,1,8.0
7,08/02,10,Economic,System,WIND,0,
8,08/02,11,Economic,Local,SOLR,26,164.0
9,08/02,11,Economic,Local,WIND,2,
10,08/02,12,Economic,Local,WIND,2,26.0
11,08/02,13,Economic,Local,SOLR,13,88.0
12,08/02,14,Economic,Local,SOLR,22,168.0
13,08/02,17,Economic,Local,SOLR,5,33.0
0,08/03,3,Economic,Local,WIND,0,1
1,08/03,17,Economic,System,WIND,14,26
2,08/03,21,Economic,Local,WIND,6,46
3,08/03,22,Economic,Local,WIND,62,101
4,08/03,23,Economic,Local,WIND,131,192
5,08/03,24,Economic,Local,WIND,46,217
0,08/04,1,Economic,Local,WIND,3,21
1,08/04,23,Economic,Local,WIND,55,94
2,08/04,24,Economic,Local,WIND,50,84
0,08/05,1,Economic,Local,WIND,9,35
1,08/05,13,Economic,Local,SOLR,10,59
2,08/05,22,Economic,Local,WIND,2,29
3,08/05,24,Economic,Local,WIND,7,62
0,08/06,8,Economic,Local,WIND,1,11
1,08/06,17,Economic,Local,WIND,0,1
2,08/06,24,Economic,Local,WIND,23,84
0,08/07,7,Economic,Local,WIND,19,75.0
1,08/07,8,Economic,Local,WIND,1,
2,08/07,8,Economic,System,SOLR,202,564.0
3,08/07,8,Economic,System,WIND,79,231.0
4,08/07,9,Economic,System,SOLR,598,951.0
5,08/07,9,Economic,System,WIND,113,157.0
6,08/07,10,Economic,System,SOLR,387,643.0
7,08/07,10,Economic,System,WIND,40,71.0
8,08/07,11,Economic,System,SOLR,2,12.0
9,08/07,11,Economic,System,WIND,1,9.0
10,08/07,20,Economic,System,SOLR,14,29.0
11,08/07,22,Economic,Local,WIND,5,51.0
12,08/07,24,Economic,System,WIND,1,11.0
0,08/08,2,Economic,Local,WIND,0,1
0,08/09,1,Economic,Local,WIND,1,8
1,08/09,13,Economic,Local,WIND,14,132
2,08/09,14,Economic,Local,WIND,9,103
0,08/10,2,Economic,Local,WIND,1,11
0,08/12,12,Economic,Local,SOLR,71,439
1,08/12,13,Economic,Local,SOLR,56,223
2,08/12,14,Economic,Local,SOLR,5,35
